taxon,genus,endemism_category,esa_status,nv_state_status,blm_status,usfs_status,natureserve_grank,book_thematic_category,notes,physiographic_region,physiographic_section
Ceanothus bakeri,Ceanothus,listed,,,,,,,Common name: Carson Range buckbrush,,
Potentilla versicolor,Potentilla,listed,,,,,G3,,Common name: Steens Mountain cinquefoil,,
Dryopteris arguta,Dryopteris,listed,,,,,G5,,Common name: coastal woodfern,,
Lorandersonia salicina,Lorandersonia,listed,,,,,G3,,Common name: willow glowweed,,
Hebecarpa macradenia,Hebecarpa,listed,,,,,G4,,Common name: glandleaf milkwort,,
Johnstonella costata,Johnstonella,listed,,,,,G4,,Common name: ashen forget me not,,
Eremogone hookeri var. hookeri,Eremogone,listed,,,,,G5,,Common name: Hooker sandwort,,
Mentzelia eremophila,Mentzelia,listed,,,,,G3,,Common name: solitary blazing star,,
Diplacus jepsonii,Diplacus,listed,,,,,G4,,Common name: Jepson monkeyflower,,
Pediocactus simpsonii,Pediocactus,listed,,"Protected (cactus, yucca, or Christmas tree)",,,G5,,Common name: mountain cactus,,
Centaurea virgata ssp. squarrosa,Centaurea,listed,,,,,,,Common name: squarrose knapweed,,
Potentilla concinna var. proxima,Potentilla,listed,,,,,G5,,Common name: Elegant Cinquefoil,,
Erythranthe charlestonensis,Erythranthe,listed,,,,,G1,,Common name: Spring Mountains monkeyflower,,
Muhlenbergia appressa,Muhlenbergia,listed,,,,,G4,,Common name: Devils Canyon muhly,,
Diplacus rupicola,Diplacus,listed,,,,,G4,,Common name: Death Valley monkeyflower,,
Leptosyne bigelovii,Leptosyne,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Bigelows Tickseed,,
Nemacladus inyoensis,Nemacladus,listed,,,,,G2,,Common name: Badger Flat threadplant,,
Navarretia leptalea ssp. leptalea,Navarretia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Bridges gilia,,
Lomatium mohavense,Lomatium,listed,,,,,G4,,Common name: Mojave lomatium,,
Opuntia diploursina,Opuntia,listed,,,,,G3,,Common name: Shaggy pricklypear,,
Gentianopsis thermalis,Gentianopsis,listed,,,,,G4,,Common name: Rocky Mountain Fringed Gentian,,
Boechera rectissima × retrofracta,Boechera,near-endemic,,,,Forest Service Region 4 Sensitive,,,"Common name: Washoe tall rockcress. Hybrid of B. rectissima (Bristlyleaf Rockcress) and B. retrofracta (Reflexed Rockcress), both separately in T&N. NatureServe G-rank: GNA (not applicable to a hybrid), S-rank: S1. NDNH counties: Douglas, Washoe.",,
